TEMPERATURE,HUMIDITY,SOIL MOISTURE,INTENSITY,Weighted_Average,SPRINKLER
20.9,62,4095,105,1266.412,1
25.9,69,2878,66,899.212,0
23.0,69,3451,80,1072.26,1
26.2,69,3565,58,1104.2759999999998,1
23.4,66,3507,90,1089.7319999999997,1
23.3,78,3081,67,962.044,0
22.3,58,2966,0,912.284,0
24.4,77,2990,0,925.392,0
21.7,58,4095,90,1263.416,1
26.1,81,4095,95,1271.788,1
23.7,69,3071,108,962.376,0
23.2,69,3569,63,1105.336,1
24.5,69,2893,63,902.9,0
24.5,69,2756,109,868.2399999999999,0
23.0,81,3464,74,1078.68,1
24.8,79,3556,74,1106.224,1
26.1,58,2740,65,854.648,0
22.4,65,3561,59,1101.032,1
19.8,71,3078,64,957.784,0
25.3,63,3062,66,952.5640000000001,0
23.3,66,3008,64,936.364,0
21.8,58,3134,64,971.504,0
27.8,70,3535,68,1097.404,1
23.2,59,3628,64,1120.376,1
25.4,58,4095,74,1262.212,1
21.7,77,4095,105,1270.836,1
25.6,69,2707,100,852.588,0
23.3,75,3676,87,1142.5040000000001,1
23.4,63,2860,74,892.552,0
23.4,66,3002,78,936.552,0
23.4,64,3180,59,986.732,0
23.4,61,3458,74,1071.3919999999998,1
23.4,72,3659,100,1138.412,1
23.8,71,3057,113,959.464,0
28.1,69,3186,85,994.8879999999999,0
22.0,55,3229,83,1001.88,0
25.7,66,2219,68,700.896,0
21.8,68,3152,98,984.4639999999999,0
26.7,68,2941,77,919.5959999999999,0
24.4,68,3606,57,1115.652,1
28.4,68,3126,74,975.1519999999999,0
28.9,68,2771,72,868.5120000000001,0
29.0,68,3222,69,1003.4199999999998,0
27.3,68,3405,60,1056.584,1
23.2,68,3531,106,1099.676,1
23.8,64,2771,93,868.904,0
23.4,59,2992,115,936.772,0
23.4,78,3318,56,1031.632,0
23.4,66,2887,99,904.9920000000001,0
27.8,71,2786,85,875.3639999999999,0
19.6,54,3628,71,1118.9479999999999,1
23.7,80,2904,38,905.5559999999999,0
22.2,58,3456,104,1073.8159999999998,1
22.0,72,3470,88,1079.6399999999999,1
22.7,71,3473,75,1078.636,1
25.3,82,3487,68,1085.664,1
23.7,70,3491,60,1081.9360000000001,1
25.1,71,2330,113,741.7280000000001,0
27.3,68,2838,88,890.404,0
26.9,68,3401,103,1061.292,1
25.1,68,3301,85,1028.268,0
23.4,70,3499,74,1086.212,1
20.3,68,3199,131,1002.764,0
24.6,59,3386,189,1065.668,1
24.4,68,3450,142,1080.7520000000002,1
23.5,80,3215,133,1012.1,0
24.5,72,3692,162,1157.3,1
24.8,55,3578,149,1116.6039999999998,1
27.2,57,2901,144,914.036,0
21.4,64,2918,128,917.232,0
21.1,67,2487,64,779.7280000000001,0
26.9,68,2696,72,845.452,0
23.4,83,2932,67,918.772,0
24.2,57,2719,119,855.0959999999999,0
23.9,76,2844,112,896.8519999999999,0
22.1,82,2772,115,876.8480000000001,0
21.9,58,2740,112,860.0519999999999,0
28.4,56,2448,72,768.112,0
27.8,68,3525,88,1096.644,1
28.5,68,3540,109,1104.28,1
27.7,68,2888,61,901.736,0
21.4,68,3599,113,1120.552,1
23.4,55,3293,98,1023.572,0
23.4,81,2936,66,919.2719999999999,0
24.6,75,3391,114,1061.148,1
20.6,56,2384,81,747.9879999999999,0
26.0,82,2391,76,758.18,0
28.2,68,2884,95,905.4359999999999,0
23.4,79,3412,61,1060.812,1
23.4,60,2800,75,873.852,0
22.4,67,3039,0,936.732,0
27.5,68,2843,0,879.64,0
23.6,60,2256,98,713.928,0
24.4,79,2256,76,716.3919999999999,0
23.1,75,2253,61,711.9079999999999,0
28.1,59,2256,71,711.128,0
26.4,62,2245,110,713.6519999999999,0
23.8,64,2244,86,709.8239999999998,0
27.8,72,2241,84,712.0039999999999,0
24.4,67,2712,57,847.172,0
22.2,67,3496,67,1083.1560000000002,1
20.1,67,3354,66,1039.828,0
27.7,67,2781,89,873.276,0
20.9,67,3566,104,1108.972,1
20.2,67,2848,103,893.236,0
28.6,67,3141,73,979.288,0
23.4,58,3592,64,1109.3519999999999,1
23.4,60,3453,73,1069.472,1
23.4,82,2709,102,856.492,0
23.4,77,3038,68,949.0319999999999,0
23.1,76,3082,0,952.348,0
27.4,56,3681,0,1127.652,1
19.8,61,3169,0,973.324,0
20.7,68,2954,0,911.036,0
24.7,56,3299,0,1012.2959999999999,0
20.4,58,2933,0,901.852,0
22.5,70,3065,0,945.4,0
29.4,59,3503,0,1075.6519999999998,1
22.8,78,3126,0,966.024,0
27.6,54,4095,89,1263.808,1
25.1,62,4095,85,1264.788,1
20.1,60,4095,66,1260.1680000000001,1
21.0,58,4095,87,1262.8,1
20.1,82,4095,91,1269.828,1
27.6,74,4095,113,1272.768,1
19.9,58,3385,71,1047.252,0
29.4,67,3106,60,967.1919999999999,0
21.7,67,3468,96,1078.676,1
24.5,67,2699,74,845.68,0
20.1,67,3247,96,1011.928,0
20.2,67,2869,61,893.656,0
24.2,67,3452,99,1074.9959999999999,1
19.8,67,3247,71,1008.3439999999999,0
23.4,56,3647,78,1127.252,1
23.8,58,3602,88,1115.8239999999998,1
24.5,63,2956,90,923.9,0
20.4,54,3394,0,1039.032,0
24.0,75,3320,69,1033.38,0
26.1,74,3021,92,947.208,0
21.7,72,3360,86,1046.276,0
25.9,70,2909,102,913.8319999999999,0
28.8,69,3635,91,1130.624,1
22.7,68,3529,86,1096.136,1
26.7,68,2794,111,880.2559999999999,0
23.4,67,3393,86,1055.252,1
23.0,55,3044,60,943.4399999999999,0
26.6,68,3620,83,1124.108,1
23.0,70,3623,63,1121.7599999999998,1
23.0,72,2772,105,872.9000000000001,0
23.0,60,3519,58,1087.06,1
23.0,58,2956,100,923.4799999999999,0
23.0,57,3104,61,962.1399999999999,0
23.0,75,3527,84,1097.3,1
23.0,75,2714,94,854.8,0
21.8,83,3592,97,1120.524,1
20.2,81,3326,96,1039.576,0
28.6,75,3083,87,966.088,0
22.0,65,3614,64,1117.52,1
20.9,76,3611,56,1118.272,1
24.7,61,3608,108,1121.5159999999998,1
19.7,68,3603,113,1121.2759999999998,1
24.7,69,3368,61,1045.176,0
21.3,69,2920,101,915.424,0
22.6,56,3540,105,1098.708,1
22.6,60,3373,99,1048.888,0
22.6,73,3384,106,1056.8079999999998,1
22.6,72,3142,98,982.808,0
22.6,55,2994,78,930.8479999999998,0
23.1,75,3560,82,1106.948,1
27.1,75,3753,73,1164.7079999999999,1
22.4,69,3135,113,981.912,0
22.6,72,3301,58,1024.908,0
28.6,69,2903,80,909.428,0
28.0,72,2946,85,923.6999999999999,0
23.0,75,3760,107,1170.42,1
28.0,66,3766,56,1163.9599999999998,1
23.5,69,3002,103,940.92,0
25.5,69,3130,75,975.96,0
28.8,69,3031,77,947.4639999999999,0
22.9,69,3564,89,1107.392,1
27.0,69,2941,73,919.4,0
22.1,69,3465,76,1075.6480000000001,1
22.5,69,3326,82,1034.8999999999999,0
22.2,69,3364,62,1043.416,0
20.6,69,2912,109,913.948,0
25.0,69,2776,83,870.74,0
20.1,69,3475,101,1081.5880000000002,1
26.2,69,2973,84,930.3159999999999,0
27.9,69,2937,75,918.732,0
22.5,69,3057,81,954.0600000000001,0
24.8,69,2806,114,884.024,0
29.4,69,3198,80,998.152,0
28.1,69,2950,113,928.008,0
20.0,69,2793,81,874.16,0
23.6,69,3206,103,1002.1479999999999,0
23.4,54,3155,63,976.9920000000001,0
23.8,77,3573,93,1113.1439999999998,1
23.8,57,3258,101,1014.164,0
23.8,77,3664,65,1136.524,1
23.8,54,2985,64,926.244,0
23.8,74,3330,75,1036.884,0
23.8,67,3400,60,1053.824,1
23.8,65,3486,102,1084.944,1
23.8,66,2739,88,859.164,0
26.2,67,2745,101,863.736,0
28.0,71,2755,105,868.9200000000001,0
20.0,73,3576,101,1112.98,1
29.1,79,3666,98,1143.788,1
21.5,58,3387,98,1052.08,1
27.7,77,3150,99,988.176,0
19.6,68,2932,101,918.268,0
23.1,75,3139,98,982.8879999999999,0
23.2,77,3159,100,989.756,0
26.8,59,3487,98,1083.844,1
22.9,66,3239,97,1010.172,0
19.9,75,3299,102,1030.552,0
26.5,56,3878,105,1201.1999999999998,1
25.0,66,3874,95,1200.98,1
25.9,60,3870,92,1197.932,1
20.6,74,3887,73,1202.808,1
27.3,54,3888,111,1204.7039999999997,1
22.8,64,3878,81,1199.0439999999999,1
22.1,67,3886,78,1201.6680000000001,1
22.3,58,3888,114,1204.8439999999998,1
22.0,74,3888,61,1201.82,1
24.5,82,3888,58,1204.3399999999997,1
23.8,78,3898,108,1213.0239999999997,1
27.6,69,3237,71,1008.088,0
21.0,69,2916,106,914.84,0
26.4,69,3191,80,995.212,0
24.7,69,2783,103,875.5559999999999,0
24.1,69,3014,99,944.1279999999999,0
27.6,71,3419,94,1066.468,1
24.2,78,2908,87,913.1959999999999,0
24.5,83,3030,70,948.9,0
24.5,60,3283,79,1019.6199999999999,0
24.5,83,2969,93,933.8199999999999,0
24.5,69,3181,102,994.7599999999999,0
24.5,63,2992,93,935.12,0
24.5,77,3000,114,944.38,0
24.5,65,3020,91,943.8,0
24.5,56,3353,100,1042.44,0
24.5,83,3430,104,1073.6599999999999,1
24.5,64,3504,109,1091.24,1
26.9,67,3476,83,1080.7119999999998,1
22.9,66,3068,80,956.4920000000001,0
28.4,62,2900,83,906.932,0
26.5,69,3609,82,1120.92,1
25.0,71,2928,81,916.62,0
20.9,78,3526,83,1097.1119999999999,1
20.2,60,3016,81,938.596,0
25.6,76,3509,83,1092.768,1
21.0,59,3375,85,1046.8000000000002,0
29.3,62,3952,61,1219.704,1
21.9,66,3952,94,1223.372,1
26.5,69,3353,60,1041.04,0
22.0,69,2924,110,918.0799999999999,0
21.3,69,3015,86,941.824,0
27.2,70,2758,71,864.556,0
20.8,70,3320,106,1036.264,0
24.6,69,2750,99,865.068,0
24.8,68,2819,113,887.504,0
24.8,64,3648,95,1132.5639999999999,1
24.8,54,2974,68,923.7839999999999,0
24.8,68,3631,60,1123.684,1
24.8,59,3309,93,1029.184,0
24.8,77,3181,69,992.4639999999999,0
24.8,78,3349,111,1049.024,0
24.8,56,3091,80,961.124,0
24.8,81,3459,57,1075.304,1
24.8,75,3183,71,992.784,0
24.8,75,3004,65,938.2439999999999,0
24.8,60,2781,98,871.764,0
24.8,79,3033,90,951.564,0
24.8,72,3193,64,993.964,0
24.8,73,2857,106,899.3240000000001,0
24.8,63,3613,91,1121.224,1
24.8,60,2841,109,891.304,0
24.8,76,3595,109,1121.984,1
24.8,69,3317,91,1034.1039999999998,0
24.8,55,3174,102,988.824,0
24.8,79,3540,94,1104.2240000000002,1
24.8,79,3366,102,1053.144,1
24.8,73,2750,110,867.784,0
24.8,58,3023,65,939.184,0
24.8,81,3684,108,1149.944,1
24.8,59,3661,67,1131.144,1
24.8,72,3296,90,1028.504,0
24.8,76,3673,73,1140.3439999999998,1
24.8,62,3657,103,1135.824,1
24.8,68,2795,59,872.744,0
24.9,78,3443,87,1073.8919999999998,1
24.9,72,2973,111,934.5719999999999,0
25.3,59,2912,79,908.264,0
25.3,55,3511,66,1085.024,1
25.3,71,2783,111,877.404,0
25.3,62,2974,77,927.4239999999999,0
25.3,62,3083,57,957.324,0
21.7,80,3139,3,970.5959999999999,0
25.4,69,1859,83,595.752,0
20.1,58,1866,97,595.248,0
25.2,72,1902,81,609.1560000000001,0
22.8,71,1903,62,605.8439999999999,0
25.8,80,1925,89,619.5840000000001,0
23.8,70,1966,104,630.624,0
29.4,71,1968,68,628.0319999999999,0
19.8,77,1968,66,626.744,0
28.6,72,3251,79,1014.5279999999999,0
25.3,67,2876,94,901.804,0
25.3,73,2928,74,916.284,0
25.3,66,3654,86,1133.804,1
25.3,63,3224,60,1000.324,0
25.3,83,2797,80,880.624,0
25.3,71,3221,75,1003.764,0
25.3,80,2860,76,898.124,0
25.3,80,3691,89,1149.244,1
25.8,82,3617,101,1129.424,1
25.8,64,3035,110,951.044,0
25.8,61,3554,72,1100.584,1
25.8,55,3134,69,972.4839999999999,0
25.8,71,3159,84,986.564,0
25.8,66,3166,83,987.1239999999999,0
25.8,83,3460,70,1078.264,1
25.8,57,3638,92,1127.464,1
25.8,74,3207,103,1004.4639999999998,0
25.8,54,2771,59,861.904,0
25.8,59,2784,61,867.4839999999999,0
19.7,74,2944,108,924.5559999999999,0
25.5,74,3328,113,1042.08,0
25.3,73,3184,67,992.1039999999999,0
25.8,58,3387,87,1051.744,1
25.8,69,3031,63,944.664,0
23.9,63,3498,97,1087.312,1
24.8,69,4095,61,1263.3039999999999,1
20.0,67,2698,97,847.34,0
28.2,70,2769,101,872.3359999999999,0
23.3,80,3130,101,982.064,0
25.8,81,3351,76,1045.844,0
25.8,80,2930,73,918.844,0
25.8,74,3165,109,992.704,0
25.8,82,3546,95,1107.2839999999999,1
25.8,71,3629,72,1125.884,1
25.8,67,3130,79,976.044,0
25.8,65,3182,105,994.7239999999999,0
25.8,58,2697,92,845.4440000000001,0
25.8,69,3153,64,981.404,0
25.8,60,2999,77,934.5039999999999,0
25.8,78,2946,57,920.8439999999999,0
25.8,56,3009,78,936.5239999999999,0
25.8,79,2722,75,856.4440000000001,0
25.8,64,3137,88,978.564,0
25.8,71,2980,103,935.524,0
25.8,70,2852,115,898.524,0
23.8,58,3133,102,977.084,0
23.5,76,3555,100,1108.36,1
20.7,60,3104,102,968.0759999999999,0
21.8,70,4095,88,1266.524,1
22.1,73,3537,78,1098.648,1
28.8,73,2722,73,855.3240000000001,0
23.8,77,3195,102,1001.004,0
25.2,83,3563,94,1112.356,1
22.4,56,4095,63,1259.272,1
22.1,69,4095,105,1268.708,1
21.7,74,3146,108,985.716,0
26.5,74,3512,58,1089.86,1
19.8,74,3223,111,1008.704,0
24.1,74,2943,79,921.4279999999999,0
25.8,76,2898,62,906.584,0
25.8,63,3055,58,949.484,0
27.7,65,3450,75,1071.456,1
22.7,63,4095,105,1267.1960000000001,1
26.2,70,3844,82,1191.616,1
27.5,77,3540,96,1104.7,1
25.0,73,3406,112,1064.92,1
26.2,75,2838,72,889.816,0
27.4,65,2723,0,842.7719999999999,0
26.9,73,2889,96,908.112,0
19.8,73,3524,83,1094.8039999999999,1
28.1,73,2732,57,855.888,0
24.8,74,3518,81,1094.4039999999998,1
25.5,75,3460,102,1080.42,1
27.2,55,3713,82,1148.396,1
21.2,57,3740,59,1152.156,1
28.3,75,3422,79,1066.5839999999998,1
20.1,75,3231,101,1010.068,0
26.2,55,2706,92,847.4159999999999,0
26.2,79,2751,106,869.596,0
23.3,65,3009,126,945.064,0
26.3,61,2697,128,851.4639999999999,0
28.5,71,2734,128,865.9799999999999,0
27.2,67,2718,128,859.6959999999999,0
21.8,66,3020,127,948.364,0
22.6,66,3049,125,957.0079999999999,0
26.3,78,3143,128,990.0239999999999,0
24.4,54,2375,98,748.172,0
28.3,60,2377,86,749.864,0
26.7,56,2371,66,743.6959999999999,0
25.8,76,3194,100,1000.704,0
29.2,75,3294,70,1027.176,0
26.2,63,3076,88,960.096,0
26.2,62,3640,94,1129.856,1
22.7,75,3174,103,993.9759999999999,0
21.1,75,3045,84,952.168,0
28.2,75,3667,62,1137.676,1
26.2,55,2987,96,932.2760000000001,0
26.2,77,3556,107,1110.676,1
20.5,54,2810,122,880.94,0
22.6,78,2792,128,883.688,0
29.5,60,3120,125,978.56,0
26.9,77,2988,128,943.4119999999999,0
27.4,73,3053,124,961.372,0
20.9,75,2850,127,899.632,0
29.5,77,3194,128,1005.9399999999999,0
21.5,80,3391,126,1063.3600000000001,1
22.3,62,3321,126,1037.544,0
22.8,83,2715,96,857.5640000000001,0
20.6,72,3215,97,1004.008,0
20.6,71,3101,101,970.088,0
21.5,72,3068,103,960.9999999999999,0
23.6,67,2863,98,897.988,0
23.9,76,3126,99,979.632,0
24.4,61,2833,0,873.812,0
27.7,66,3303,0,1017.136,0
26.3,61,2475,101,781.084,0
22.4,57,2487,59,776.592,0
20.6,81,2496,102,791.5279999999999,0
24.5,55,2502,101,787.0,0
25.3,74,3639,64,1128.4640000000002,1
23.2,74,2753,73,863.336,0
25.3,74,3248,71,1012.144,0
25.8,54,3194,87,992.7239999999999,0
25.8,78,2820,102,889.3439999999999,0
25.8,70,3404,105,1062.724,1
27.2,57,3643,109,1131.7359999999999,1
23.4,61,3549,109,1103.592,1
20.1,54,2854,112,892.6279999999999,0
21.0,61,3173,112,990.54,0
25.8,62,3076,112,963.064,0
21.2,63,2576,64,805.336,0
23.7,67,2585,92,813.776,0
28.5,79,2592,64,816.6600000000001,0
23.8,68,2599,78,816.3239999999998,0
21.4,79,2603,111,824.5519999999999,0
27.8,64,2608,94,821.2639999999999,0
23.0,67,2609,86,819.9399999999999,0
27.2,73,2794,71,876.196,0
25.3,56,3453,95,1071.9639999999997,1
25.3,77,2974,66,930.084,0
25.3,57,3154,96,982.684,0
25.3,61,3580,94,1111.324,1
25.3,72,2991,108,939.664,0
27.4,74,2850,0,883.392,0
21.3,83,2730,0,848.204,0
28.2,75,3544,0,1092.096,1
27.9,70,3082,0,952.012,0
28.8,60,2930,0,903.864,0
19.2,75,1724,16,545.8159999999999,0
19.1,77,2569,13,799.428,0
19.7,78,1689,52,541.336,0
19.9,80,2427,32,760.552,0
19.5,81,2243,99,714.9,0
20.9,83,2957,91,928.932,0
20.5,84,2432,109,774.12,0
20.2,82,1717,168,567.236,0
21.4,80,1898,206,626.6320000000001,0
22.2,78,3979,157,1243.736,1
22.4,77,2533,142,807.612,0
22.4,76,3178,219,1011.612,0
23.8,74,2999,180,952.284,0
22.9,78,1102,205,387.55199999999996,0
21.9,83,2045,154,664.432,0
20.9,87,3583,177,1129.8919999999998,1
20.1,88,2692,108,852.988,0
20.1,90,2660,104,843.3879999999999,0
20.3,91,1011,87,346.644,0
20.7,91,2118,41,672.4159999999999,0
20.3,91,3729,60,1158.2640000000001,1
20.3,91,3042,22,946.844,0
20.1,91,3635,70,1131.408,1
20.7,91,2103,25,665.6759999999999,0
20.5,91,3289,63,1026.74,0
19.2,91,3228,2,999.536,0
19.0,91,2254,47,713.5799999999999,0
19.9,92,2250,67,715.712,0
19.3,88,1524,89,499.70399999999995,0
20.1,84,4045,115,1258.7479999999998,1
21.5,81,2922,87,917.48,0
23.8,74,1723,210,573.684,0
24.2,68,4018,154,1252.7759999999998,1
26.5,61,2041,215,666.9,0
27.8,60,2017,187,655.8639999999999,0
27.8,59,2519,168,803.5239999999999,0
28.3,58,3335,153,1046.084,0
28.0,63,2392,203,771.5,0
27.0,67,1043,209,368.47999999999996,0
24.9,72,2141,180,694.6320000000001,0
24.7,73,3373,84,1051.016,1
24.9,74,4066,88,1259.812,1
24.8,76,4094,111,1271.964,1
23.5,78,3090,47,962.0,0
23.4,80,2534,61,797.6919999999999,0
22.3,82,1212,40,398.404,0
22.7,83,1440,42,467.476,0
23.0,83,3920,4,1206.24,1
22.7,84,3504,48,1087.796,1
21.5,86,1636,4,521.4599999999999,0
21.5,88,3438,80,1073.26,1
21.7,90,2719,55,854.6759999999999,0
22.3,85,1024,96,350.68399999999997,0
23.2,80,1346,119,449.35600000000005,0
24.5,75,1854,84,595.8199999999999,0
25.2,70,1081,175,375.456,0
27.3,65,2535,140,805.9440000000001,0
28.7,60,3429,218,1084.056,1
28.3,61,2083,200,677.904,0
28.1,61,1678,148,549.068,0
28.2,62,2395,169,767.4159999999999,0
27.6,66,1328,199,452.468,0
26.7,70,3190,150,1005.076,0
25.0,75,2210,219,721.66,0
25.6,77,1465,137,487.408,0
25.7,79,2638,99,834.576,0
24.7,81,1963,111,634.036,0
24.7,82,1529,52,495.856,0
23.8,84,2603,68,820.6039999999999,0
23.2,86,2169,60,689.6759999999999,0
23.8,87,3384,32,1050.704,1
22.4,88,1984,50,633.112,0
22.5,89,3105,54,970.28,0
22.3,89,3266,73,1021.184,0
21.6,88,1490,73,487.908,0
21.5,87,3347,52,1041.76,0
21.3,83,2058,133,665.2239999999999,0
22.6,78,3153,97,987.648,0
23.3,74,1636,81,529.384,0
24.1,69,3309,165,1041.868,0
26.2,64,1313,215,449.256,0
27.0,59,3629,173,1137.0,1
28.3,56,3653,181,1144.8439999999998,1
28.7,53,2587,209,828.236,0
29.6,50,1108,204,383.248,0
28.3,54,2688,172,853.524,0
27.3,57,3700,220,1164.404,1
25.5,61,1505,188,502.04,0
25.7,62,3625,139,1131.516,1
24.5,63,2776,127,875.0799999999999,0
24.0,64,3882,137,1208.42,1
23.8,66,1898,52,601.824,0
22.7,67,3214,31,993.656,0
21.2,69,2192,26,686.496,0
21.3,68,3287,63,1019.924,0
20.3,68,2196,69,693.184,0
20.7,67,1648,51,526.096,0
19.1,69,3579,39,1103.828,1
19.0,70,3059,42,948.4999999999999,0
18.6,71,2330,4,724.6479999999999,0
19.3,68,3031,90,946.3439999999999,0
20.6,64,3762,93,1165.308,1
21.9,60,2958,122,927.412,0
23.2,53,1358,153,450.156,0
24.8,46,2897,143,908.944,0
25.6,39,1876,178,605.8079999999999,0
26.5,37,3578,175,1115.6799999999998,1
26.6,36,2751,174,867.188,0
26.1,34,1086,187,368.80800000000005,0
25.6,37,1887,165,606.7280000000001,0
23.9,40,3497,179,1092.052,1
22.2,44,3270,191,1026.276,0
21.2,45,2686,129,842.396,0
21.0,46,1138,123,377.38,0
20.0,48,4043,140,1251.5399999999997,1
19.3,49,2371,14,732.384,0
19.1,50,1850,52,581.6279999999999,0
19.6,52,2211,24,686.708,0
18.0,53,1939,47,608.16,0
18.1,55,4032,3,1230.488,1
17.4,57,4063,76,1250.372,1
17.9,61,3989,69,1228.4520000000002,1
16.9,65,2699,67,842.012,0
15.7,68,2466,72,773.316,0
16.2,64,2414,128,764.5759999999999,0
18.0,59,3741,120,1160.6599999999999,1
19.1,55,3594,133,1117.568,1
21.6,51,3207,167,1005.8079999999999,0
22.4,47,2505,207,799.912,0
24.9,43,3028,146,947.8520000000001,0
24.2,41,1750,143,563.276,0
25.6,38,2821,147,884.688,0
25.1,36,3535,202,1105.888,1
24.9,39,1252,149,414.352,0
22.8,42,1447,154,473.804,0
21.8,45,1105,189,376.664,0
21.7,45,2810,88,873.9960000000001,0
20.9,46,2198,104,692.692,0
19.2,47,1860,123,593.7560000000001,0
19.3,48,3799,53,1165.9640000000002,1
18.1,48,3905,53,1197.428,1
18.3,49,3135,48,966.0640000000001,0
17.4,50,3301,38,1014.492,0
17.7,52,3252,47,1001.6959999999999,0
16.4,53,3230,41,994.172,0
16.8,57,3134,33,965.4839999999999,0
15.5,60,1945,60,613.04,0
14.3,63,4073,11,1245.0839999999998,1
16.6,60,1280,83,417.068,0
17.8,56,1561,122,506.0439999999999,0
18.7,52,3482,140,1083.9959999999999,1
20.8,48,3009,179,947.0239999999999,0
23.0,44,3607,164,1123.82,1
24.9,39,1084,171,367.032,0
24.9,38,2689,171,848.252,0
25.8,36,1685,208,551.924,0
25.3,34,1394,149,455.664,0
24.6,37,1688,147,544.2280000000001,0
22.0,40,1001,195,344.96000000000004,0
21.6,42,1665,146,537.748,0
20.7,44,3208,110,995.9159999999999,0
19.2,45,2054,112,649.8559999999999,0
19.4,47,2490,101,779.732,0
18.9,47,2010,41,627.192,0
18.2,48,3018,31,928.276,0
17.6,48,3091,1,945.808,0
17.0,49,1638,19,512.54,0
18.0,49,3695,26,1130.9,1
16.0,50,1666,63,527.1,0
16.0,53,2658,12,818.4,0
15.3,56,1851,54,582.824,0
15.0,59,2901,57,899.0,0
16.3,54,1849,124,591.7439999999999,0
18.3,49,2568,129,807.3040000000001,0
19.1,44,1139,94,372.528,0
21.9,41,3823,198,1192.232,1
23.0,38,1873,188,605.3000000000001,0
24.2,35,3290,197,1031.156,0
25.4,33,3601,185,1122.5520000000001,1
25.9,32,1928,159,616.872,0
26.4,30,2364,164,747.952,0
24.4,33,3525,177,1098.3519999999999,1
23.3,37,3172,167,991.8639999999999,0
21.5,40,3050,193,959.24,0
21.2,41,1453,135,472.21599999999995,0
20.7,43,2700,82,839.316,0
21.0,44,2517,104,787.8600000000001,0
19.0,47,2272,53,707.5,0
18.7,49,1111,33,356.87600000000003,0
18.3,52,2519,53,782.8039999999999,0
17.3,53,2348,54,731.6439999999999,0
17.3,55,3863,23,1182.3639999999998,1
17.0,56,2817,38,870.8600000000001,0
16.4,61,2688,7,829.052,0
16.7,66,2896,64,900.9159999999999,0
15.3,71,2917,51,906.404,0
16.7,67,3103,129,972.396,0
18.4,62,2880,128,904.432,0
19.8,57,2627,140,829.2040000000001,0
20.4,52,1185,182,401.252,0
22.5,46,2861,211,907.0199999999999,0
24.9,40,3113,180,977.272,0
24.9,38,3671,196,1146.352,1
25.2,35,4013,169,1244.416,1
25.3,33,1303,186,433.264,0
24.8,37,2797,159,878.664,0
22.6,40,1424,167,468.108,0
21.5,44,3577,196,1118.8799999999999,1
20.8,45,3049,113,948.944,0
20.7,47,2699,106,843.496,0
19.2,48,3892,101,1200.556,1
19.9,49,3926,19,1199.752,1
18.8,51,1876,69,592.0039999999999,0
18.2,52,1249,63,403.176,0
18.0,53,3835,36,1175.42,1
17.5,54,2714,51,841.3599999999999,0
16.8,55,1114,79,365.364,0
16.4,58,2476,25,767.132,0
15.6,61,1924,0,598.6479999999999,0
15.1,64,3506,0,1073.9479999999999,1
16.9,60,2685,85,838.932,0
17.8,57,2673,84,834.6039999999999,0
18.1,53,2994,82,929.588,0
20.1,47,3199,193,1005.5079999999999,0
22.8,41,3825,163,1188.184,1
24.9,36,1031,184,352.112,0
24.9,34,2010,143,639.512,0
25.5,32,1972,173,631.9200000000001,0
25.4,30,3092,165,966.2119999999999,0
24.9,34,3307,166,1031.8319999999999,0
22.6,38,1549,182,507.148,0
21.1,42,1980,220,642.468,0
